Candidate_ID,Gender,Age,Education_Level,University_Type,Experience_Years,Application_Channel,Region,Role_Applied,Ticketing_Tool,Language_Proficiency,Live_Chat_Experience_Months,CSAT_Prior,Typing_Speed_WPM,Night_Shifts,Manager_Score,Interview_Sentiment,Stage_Reached,Offer_Result,Time_to_Hire_Days,Salary_Expectation_USD,Bias_Flag
CD1XPP4DZ,Male,31,Bootcamp,Public,4.8,Referral,Caribbean,Customer Support Agent,Intercom,B1,44,85.5,45,No,2.3,0.16,Offer,Not Hired,,1145,No
CHDS901Z2,Female,27,Bachelor,Public,0.3,Referral,APAC,Customer Support Agent,Zendesk,C1,9,88.9,64,Yes,4.4,0.07,Offer,Hired,41.0,954,No
CSE4QSNG7,Male,38,Bootcamp,Public,7.1,LinkedIn,Pacific,Customer Support Agent,Freshdesk,B1,51,87.2,50,Yes,2.9,0.84,Offer,Not Hired,,1263,No
C2XO3TPQI,Female,43,Bachelor,Private,3.9,LinkedIn,Andean,Customer Support Agent,Salesforce,C2,28,86.7,45,Yes,4.4,0.38,Offer,Not Hired,,1145,Yes
CDT5C43JW,Male,28,Master,Private,3.2,LinkedIn,Europe,Customer Support Agent,Zendesk,C1,23,75.9,61,Yes,3.0,-0.41,Offer,Not Hired,,1241,No
CF1ZMC8Q6,Female,47,Bachelor,Private,1.6,Job Board,Europe,Customer Support Agent,Other,B1,18,84.5,44,No,2.7,-0.45,Offer,Not Hired,,1046,No
CY21HNQRB,Male,42,Bootcamp,Private,5.4,Job Board,North America,Customer Support Agent,Intercom,C1,44,70.4,51,No,4.2,0.53,Offer,Not Hired,,1140,No
CTF0Y70N8,Female,25,Bachelor,Public,1.7,Referral,North America,Senior Support Agent,Zendesk,C1,14,94.6,56,No,3.2,0.64,Offer,Not Hired,,1646,No
COL6NCQ2G,Female,53,Master,Public,1.2,LinkedIn,Andean,Customer Support Agent,Freshdesk,C1,13,70.9,47,Yes,3.3,-0.03,Offer,Hired,21.0,1341,No
CQEYRLIUY,Male,20,Bachelor,Public,6.9,LinkedIn,North America,Customer Support Agent,Intercom,B2,52,79.7,49,Yes,2.4,-0.77,Offer,Not Hired,,1119,No
C7PF3WZDL,Female,43,Bootcamp,Private,4.7,LinkedIn,Andean,Customer Support Agent,Zendesk,B1,46,71.9,73,Yes,3.0,1.38,Offer,Not Hired,,1101,No
C13P24N6K,Female,35,Bachelor,Private,3.2,Referral,Andean,Team Lead,Zendesk,B1,26,76.4,53,No,3.6,1.18,Offer,Not Hired,,2235,Yes
CIYWF3H2A,Non-binary,43,Bachelor,Public,5.5,LinkedIn,APAC,Customer Support Agent,Intercom,C1,39,82.5,51,Yes,2.4,-1.54,Offer,Not Hired,,1015,No
C222XQZJ2,Female,47,Bachelor,Public,3.8,Referral,North America,Senior Support Agent,Zendesk,B1,29,78.1,53,Yes,2.9,1.46,Offer,Not Hired,,1761,No
CUQSUBFIE,Male,44,Bootcamp,Private,4.8,Recruiting Agency,Andean,Customer Support Agent,Zendesk,B2,46,91.6,60,No,3.0,0.06,Offer,Not Hired,,1235,No
CPYXQ4UC1,Male,43,PhD,Private,1.7,Referral,Andean,Senior Support Agent,Intercom,B2,11,83.9,43,Yes,3.3,0.42,Offer,Not Hired,,1525,No
CUWUTDU2K,Female,50,Bootcamp,Private,9.2,Career Site,APAC,Customer Support Agent,Salesforce,B1,79,79.1,60,Yes,4.3,1.27,Offer,Not Hired,,1121,Yes
CVBMP9HJO,Male,44,Bootcamp,Public,2.3,LinkedIn,Andean,Senior Support Agent,Freshdesk,C1,15,81.1,58,Yes,3.1,1.74,Offer,Not Hired,,1747,No
C94BI3C4K,Female,49,Bootcamp,Public,7.8,LinkedIn,Andean,Customer Support Agent,Other,C1,58,92.3,34,No,2.8,1.15,Offer,Not Hired,,1159,No
C7KPXEUS2,Male,33,Bachelor,Public,3.3,Career Site,Andean,Team Lead,Salesforce,C1,30,89.6,77,No,5.0,0.47,Offer,Not Hired,,1785,No
C9XOOP3LG,Female,26,Bachelor,Public,5.9,Referral,Andean,Team Lead,Freshdesk,B1,42,73.3,73,Yes,3.0,-0.99,Offer,Not Hired,,2067,No
CMADD10ZQ,Female,27,Bachelor,Private,5.7,Job Board,Caribbean,Customer Support Agent,Zendesk,B2,51,77.1,45,No,3.2,-1.57,Offer,Not Hired,,875,No
CZF6S7FRZ,Female,41,Bachelor,Public,6.8,Recruiting Agency,APAC,Customer Support Agent,Salesforce,C1,57,86.4,42,Yes,3.0,1.04,Offer,Not Hired,,1105,No
CRQFNIKYW,Non-binary,38,Bachelor,Public,1.6,Job Board,Caribbean,Customer Support Agent,Zendesk,B2,8,84.9,58,Yes,3.1,1.46,Offer,Not Hired,,951,No
CVN8DMEM8,Male,21,Bachelor,Private,6.6,Referral,North America,Customer Support Agent,Salesforce,C1,52,74.1,38,No,3.4,-0.48,Offer,Hired,7.0,1018,No
CN6RZQJ18,Non-binary,26,Master,Public,8.6,Job Board,North America,Senior Support Agent,Freshdesk,C1,66,88.7,71,No,3.9,0.01,Offer,Not Hired,,1395,No
CJ2JZ2Q0J,Male,54,Bachelor,Public,3.1,LinkedIn,North America,Senior Support Agent,Zendesk,B2,27,75.1,49,No,3.6,-0.25,Offer,Not Hired,,1597,No
CCDQ6EQZH,Male,45,Bootcamp,Private,3.9,LinkedIn,North America,Customer Support Agent,Freshdesk,B2,43,92.9,74,No,4.1,-0.28,Offer,Not Hired,,915,No
CZL3UTGQ4,Male,46,Master,Public,2.4,LinkedIn,North America,Customer Support Agent,Freshdesk,C1,17,86.4,45,Yes,4.0,1.22,Offer,Hired,22.0,1225,No
CA1RZXPLW,Non-binary,26,Master,Private,2.9,Career Site,North America,Senior Support Agent,Salesforce,B1,26,73.2,54,Yes,3.4,0.45,Offer,Not Hired,,1822,No
CFVDXWD1O,Male,21,Bachelor,Public,8.2,Job Board,North America,Customer Support Agent,Zendesk,C1,66,78.4,70,Yes,3.6,0.04,Offer,Not Hired,,1125,No
C2BGRGLXF,Female,29,Master,Private,1.2,LinkedIn,Europe,Customer Support Agent,Salesforce,B2,10,77.7,51,Yes,4.1,2.0,Offer,Not Hired,,1050,Yes
CYDGV2GK7,Male,50,Bachelor,Public,1.4,LinkedIn,North America,Customer Support Agent,Zendesk,B1,10,83.4,58,Yes,2.5,-1.04,Offer,Not Hired,,764,No
C9UQMWVKA,Male,37,Bachelor,Public,8.0,Job Board,Europe,Customer Support Agent,Salesforce,C1,59,81.0,68,Yes,5.0,0.74,Offer,Hired,30.0,1024,No
CF8PRQ2CC,Female,48,Master,Private,5.4,Career Site,Andean,Customer Support Agent,Salesforce,B2,45,73.3,48,Yes,2.9,-0.69,Offer,Not Hired,,974,No
CJRYRP7FU,Female,37,Master,Private,9.3,LinkedIn,North America,Customer Support Agent,Zendesk,B2,73,71.6,40,No,3.1,0.11,Offer,Not Hired,,1141,No
