QA_ID,Recruiter_ID,Candidate_ID,Feedback_Score,Category,Comment,Alignment_with_Policy,Coaching_Required,Response_Time_Sec
QBYRB4BIK,RQTPZN2,CUZD1T7H6,61.5,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,12
Q8JEPD263,RX70EUX,CY64R1LQT,93.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,12
QYM0P2C0L,RKBQMI1,CPE9ILSYS,85.7,Language,Shorten sentences; check grammar in templates.,Yes,No,10
QXIQ8WZ17,RGQO9D4,CFWUSY4FP,66.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,16
QTQIYMF2T,RO60RRW,CY7P30UGU,81.3,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,22
QSL3MQAFE,RKBQMI1,C69IGZKHB,85.1,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,12
QKNT2FQIZ,R1VCYW5,C741I6YGE,80.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,9
QEWL1NA41,RGTYOX0,CKNHOED0C,75.7,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,Yes,14
QECJ002FD,RV5J536,CGM03NFGD,83.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,14
QHIW8WPAF,R3CIL6P,CDG1DVMN8,100.0,Language,Shorten sentences; check grammar in templates.,Yes,No,11
QGKY4PE4U,RSHG3JO,CK03LE6FV,91.3,Policy,Missed policy nuance; add the required verification step.,Yes,No,16
QC0I4EEQD,RGTYOX0,CA0AC95Z4,81.9,Language,Shorten sentences; check grammar in templates.,Yes,No,17
QMF3HRIBO,RYZBJPT,C65SZSYUS,75.5,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,3
QBRQ73JD2,RE2MZO2,CZW6AKGUW,96.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,14
QQ5G3MWSM,R3CIL6P,C8LH8WKWS,84.6,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,20
QNG8AVQZ3,RJX8UH8,CX5W8EMED,91.4,Policy,Missed policy nuance; add the required verification step.,Yes,No,14
Q3YW3KXHR,RKBQMI1,CLNCQ6OXG,67.2,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,3
QK6GGNCY1,RVOJX6Q,CB0NSJNLB,86.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,14
QI3BG26NX,RBOEB9D,CRL283PSQ,79.7,Policy,Missed policy nuance; add the required verification step.,Yes,No,10
QIOCK9F0B,R1NKAAB,CGFQ62SHM,87.6,Policy,Missed policy nuance; add the required verification step.,Yes,No,16
Q8VGETPVY,RVLO5D3,C660H8TTZ,62.0,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,17
Q74NXVOX7,R3U9XBG,CJEJ77SO3,73.1,Language,Shorten sentences; check grammar in templates.,No,Yes,9
QP0VHITRW,RX70EUX,CP71ASFII,69.2,Language,Shorten sentences; check grammar in templates.,No,Yes,9
QNQSECZKN,RV5J536,CG4O8EQ6B,65.3,Policy,Missed policy nuance; add the required verification step.,No,Yes,20
QBY1O7PJZ,ROD2CCE,CW23HH7TP,81.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,8
QKHO36MBD,RYZBJPT,CMC7G3GLV,70.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,15
QP18NI7Y5,RS6K3JJ,CVN8DMEM8,80.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,9
QAMS95Z81,RO60RRW,C6EKCA47F,76.1,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,19
Q8LHLZMXM,R1NKAAB,CPBY1KMIO,95.7,Policy,Missed policy nuance; add the required verification step.,Yes,No,25
Q2BYAOVLZ,RQTPZN2,CEN7PEX85,71.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,10
QA62WYUM7,RYZBJPT,C5VQL7ZG8,74.7,Empathy,Improve tone and acknowledgment before solution.,No,Yes,7
QWIHQDVQF,RO60RRW,CCKZK05CA,75.9,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,Yes,3
QKZY0OLGJ,REU373Y,CI9XBI057,81.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,8
QEZ5ZQLPJ,REU373Y,C0UTRIRA8,71.8,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,6
Q44UFZ0PU,RYZBJPT,CVRRBQM35,100.0,Language,Shorten sentences; check grammar in templates.,Yes,No,12
QGS62HB02,RILR9IM,CJK35M072,97.8,Empathy,Improve tone and acknowledgment before solution.,No,Yes,9
QS98WDMX2,R1NKAAB,CM0TJS5I0,97.2,Language,Shorten sentences; check grammar in templates.,Yes,No,17
Q301GG4TP,RJX8UH8,CF3U7PHV7,72.5,Policy,Missed policy nuance; add the required verification step.,No,Yes,17
QYDONM5CW,R7V5FWU,C1WCKG0BH,78.0,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,11
QRATNXCGG,R1NKAAB,CF3U7PHV7,94.4,Language,Shorten sentences; check grammar in templates.,No,Yes,14
QQ6EFW4AZ,RV5J536,CGFQ62SHM,84.1,Policy,Missed policy nuance; add the required verification step.,No,Yes,9
Q2ZJGXJX6,R1NKAAB,CANKVJ8KS,83.4,Empathy,Improve tone and acknowledgment before solution.,Yes,No,6
QS1FLEL86,RE2MZO2,C3MPLSEPG,90.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,12
QCJYP9Q40,RO60RRW,C03PK8QLP,87.1,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,7
QP1EUTASX,RKBQMI1,C2TQONTYP,73.7,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,8
QEGZHMGPI,RGTYOX0,C4U1VMXWZ,69.9,Empathy,Improve tone and acknowledgment before solution.,No,Yes,16
QFZXQNBUT,RO60RRW,C3BPVSY2O,78.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,3
QWKQYGIKP,RYZBJPT,CFLQUXY4C,100.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,15
Q0TU91IQ0,RO60RRW,CO7YD4426,71.4,Policy,Missed policy nuance; add the required verification step.,No,Yes,7
Q1L6S5HLW,RDHQQWC,C1B4OO85B,81.9,Language,Shorten sentences; check grammar in templates.,Yes,No,12
Q9CFLVG9R,RYZBJPT,CAP9PZJ11,68.6,Empathy,Improve tone and acknowledgment before solution.,No,Yes,14
QOH9KRXBH,RV5J536,CTWQF6194,65.6,Empathy,Improve tone and acknowledgment before solution.,No,Yes,8
QSNLS232B,RE2MZO2,CLH1YIYZT,75.8,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,10
QIVWY5CBQ,RO60RRW,C1TX49DZI,87.4,Policy,Missed policy nuance; add the required verification step.,Yes,No,9
QFQTC8WZT,RILR9IM,CAVXNQ2NC,68.3,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,7
QM4G8Z96I,RXYNE26,CF1ZMC8Q6,90.6,Policy,Missed policy nuance; add the required verification step.,No,Yes,11
QTUC068U9,RQTPZN2,C84XNH42I,83.6,Empathy,Improve tone and acknowledgment before solution.,Yes,No,18
QNPUULTK8,RYZBJPT,CJKPBYWLN,89.2,Policy,Missed policy nuance; add the required verification step.,Yes,No,10
Q3CMZN0VR,RYZBJPT,C51LO6BSE,79.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,11
QV6578WJF,RGQO9D4,CP71ASFII,94.8,Language,Shorten sentences; check grammar in templates.,Yes,No,8
Q6271DHGE,RABAG5I,CS03PXT8X,71.6,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,12
QGUA4R5PU,R1NKAAB,C1KYYVB58,73.5,Language,Shorten sentences; check grammar in templates.,No,Yes,3
Q39PDRPHV,RKBQMI1,CK9IBU9D4,84.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,9
QS6X46E48,RRP3YAQ,C2S9PYD7F,75.9,Language,Shorten sentences; check grammar in templates.,Yes,Yes,5
QCKTBG9QK,RGQO9D4,CB18RTRCW,67.7,Empathy,Improve tone and acknowledgment before solution.,No,Yes,10
Q09SRXCPY,RS6K3JJ,CY64R1LQT,74.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,17
QSBPLL67K,RGQO9D4,CG2NPTP1I,68.4,Policy,Missed policy nuance; add the required verification step.,No,Yes,3
Q8QLNEE9G,R2KT8NL,C0IHDR1V5,90.9,Language,Shorten sentences; check grammar in templates.,Yes,No,11
QKK0PCENJ,ROD2CCE,CNVS00K4N,69.2,Policy,Missed policy nuance; add the required verification step.,No,Yes,16
Q8QR6OOFZ,R3U9XBG,CTDYBJZS1,70.2,Policy,Missed policy nuance; add the required verification step.,No,Yes,17
QLUMF49ND,REU373Y,CH99N2Z75,86.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,17
Q81XYWPSG,R3U9XBG,CB1W2WOV0,94.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,15
